# Lane B peak/lifetime trace (HEAD 013f1f7). peak_qubits=1302 at phase=dialog_gcd_compressed_block_tobitvector_shift ops_idx=1096242 total_ops=9777634
# distinct phases reaching 1302q: dialog_gcd_compressed_block_tobitvector_branch_bits(4 sites), dialog_gcd_compressed_block_tobitvector_compress_block(2 sites), dialog_gcd_compressed_block_tobitvector_cswap(4 sites), dialog_gcd_compressed_block_tobitvector_reverse_add(4 sites), dialog_gcd_compressed_block_tobitvector_reverse_branch_bits(4 sites), dialog_gcd_compressed_block_tobitvector_reverse_cswap(4 sites), dialog_gcd_compressed_block_tobitvector_shift(6 sites), dialog_gcd_compressed_block_tobitvector_subtract(4 sites), dialog_gcd_raw_tobitvector_materialized_add_body(4 sites), dialog_gcd_raw_tobitvector_materialized_add_clear(4 sites), dialog_gcd_raw_tobitvector_materialized_add_load(4 sites), dialog_gcd_raw_tobitvector_materialized_sub_body(4 sites), dialog_gcd_raw_tobitvector_materialized_sub_clear(4 sites), dialog_gcd_raw_tobitvector_materialized_sub_load(4 sites)
# rows below: per-region active-qubit maxima within 7 of peak (source: TRACE_PHASE_ACTIVE_REGIONS)
ops_idx	active_q	phase	level
1986035	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
1995280	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2004491	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2013736	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2022947	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2032192	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2041403	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2050648	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2059859	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2069104	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2078315	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2087560	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2096771	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2106016	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2115227	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2124472	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2133683	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2142928	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2152139	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2161384	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2170595	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2179840	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2189051	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2198296	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2207507	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2216752	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2225963	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2235208	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2244419	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2253664	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2262875	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2272120	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2281331	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2290576	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2299787	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2309032	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2318243	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2327488	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2336699	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2345944	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2355155	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2364400	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2373611	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2382856	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2392067	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2401312	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2410523	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2419768	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2428979	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2438224	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2447435	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2456680	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2465891	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2475136	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2484347	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2493592	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2502803	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2512048	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2521259	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2530504	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2539715	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2548960	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2558171	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2567416	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2576627	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2585872	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2595083	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2604328	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2613539	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2622784	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
